時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,90,70,50,50,5,5,0,15
15,90,80,55,70,5,15,0,20
30,120,80,60,75,40,50,0,15
45,120,90,70,75,70,45,0,15
60,110,80,70,80,75,55,15,35
75,110,80,70,80,65,55,15,35
90,110,80,70,80,60,55,20,35
105,95,80,70,75,50,50,25,35
120,95,70,70,75,60,45,25,35
135,85,60,60,75,60,50,25,20
150,80,65,55,70,50,50,20,50
165,90,65,60,75,40,50,20,30
180,100,70,60,75,40,50,15,35
195,100,70,65,75,40,40,20,35
210,100,65,60,80,40,40,15,30
225,90,65,65,80,50,50,25,30
240,80,65,70,75,65,50,25,35
255,100,75,60,80,65,50,20,15
270,90,75,75,80,60,55,25,35
285,100,75,75,75,50,55,25,35
300,100,65,75,75,50,55,25,45
315,100,70,65,75,60,50,25,20
330,95,70,55,75,60,55,20,30
345,85,70,55,75,65,55,30,30
360,75,70,65,70,60,65,35,30
375,85,75,70,60,60,65,35,40
390,100,75,70,60,55,65,25,35
405,100,80,70,70,50,55,30,35
420,100,70,70,70,55,50,15,35
435,100,65,55,70,45,50,15,35
450,95,75,55,65,45,50,20,35
465,105,75,65,70,55,45,20,30
480,105,75,65,70,50,45,30,30
495,100,65,70,70,50,45,30,30
510,100,65,80,55,45,55,15,30
525,110,80,80,55,45,60,15,30
540,100,70,75,60,45,55,20,30
555,100,70,70,65,45,50,20,20
570,95,60,70,65,50,45,25,20
585,95,55,65,60,45,45,15,20
600,95,55,65,55,40,45,25,15
615,85,50,55,45,25,40,15,15
630,85,40,45,45,15,30,25,15
645,70,40,45,35,10,25,20,20
660,0,30,55,35,15,15,25,20
675,0,0,0,0,30,45,15,15
690,0,0,0,0,0,0,0,0
705,0,0,0,0,0,0,0,0
