date,lambda,value,total_time,scheduled_plan,optimal_plan,time_schedule
2023-01-10,1.0,8453,719,"[5, 7, 4, 4, 6, 4, 2, 3, 2, 4, 4, 2, 4, 6, 5, 4, 5, 3, 6, 2]","[5, 7, 4, 6, 4, 2, 3, 2, 4, 2, 4, 6, 5, 4, 5, 3, 6, 2]","[0, 30, 90, 105, 180, 195, 240, 330, 375, 405, 465, 480, 540, 585, 600, 645, 675, 705]"
2023-01-10,3.111111111111111,8052,693,"[5, 4, 2, 7, 4, 5, 4, 7, 3, 1, 4, 7, 4, 7, 2, 4, 2]","[5, 4, 2, 7, 4, 5, 4, 7, 3, 1, 4, 7, 4, 7, 2, 4, 2]","[0, 30, 45, 105, 165, 180, 240, 255, 315, 390, 465, 480, 540, 570, 630, 660, 690]"
2023-01-10,5.222222222222222,8503,715,"[4, 5, 6, 4, 2, 7, 4, 7, 3, 7, 4, 2, 4, 2, 6, 4, 5, 0, 3, 1]","[4, 5, 6, 4, 2, 7, 4, 7, 3, 7, 4, 2, 4, 2, 6, 4, 5, 3]","[0, 30, 75, 120, 150, 195, 270, 285, 345, 405, 480, 495, 555, 570, 630, 660, 675, 705]"
2023-01-10,7.333333333333334,8433,708,"[3, 4, 2, 7, 6, 2, 6, 4, 2, 5, 4, 6, 5, 4, 5, 2, 4, 5]","[3, 4, 2, 7, 6, 2, 6, 4, 2, 5, 4, 6, 5, 4, 5, 2, 4, 5]","[0, 60, 90, 150, 210, 270, 315, 375, 390, 450, 510, 525, 570, 615, 630, 660, 675, 705]"
2023-01-10,9.444444444444445,8487,708,"[4, 6, 4, 2, 1, 6, 2, 6, 4, 2, 4, 3, 6, 4, 6, 2, 4, 0, 2]","[4, 6, 4, 2, 1, 6, 2, 6, 4, 2, 4, 3, 6, 4, 6, 2, 4, 2]","[0, 30, 60, 75, 150, 225, 270, 330, 390, 405, 465, 480, 540, 585, 615, 645, 675, 705]"
2023-01-10,11.555555555555555,3731,296,"[5, 5, 4, 4, 6, 4, 4, 5, 1, 4, 6]","[5, 4, 6, 4, 5, 1, 4, 6]","[0, 30, 45, 90, 105, 150, 225, 255]"
2023-01-10,13.666666666666668,4278,306,"[4, 6, 6, 4, 6, 4, 7, 4, 7, 4]","[4, 6, 4, 6, 4, 7, 4, 7, 4]","[0, 30, 60, 75, 135, 150, 210, 225, 300]"
2023-01-10,15.777777777777779,3788,308,"[5, 4, 1, 4, 2, 4, 4, 4, 7, 7, 4, 4]","[5, 4, 1, 4, 2, 4, 7, 4]","[0, 30, 45, 135, 150, 210, 225, 300]"
2023-01-10,17.88888888888889,3308,295,"[5, 4, 2, 2, 7, 7, 7, 3, 2, 4, 4]","[5, 4, 2, 7, 3, 2, 4]","[0, 30, 45, 105, 165, 225, 285]"
2023-01-10,20.0,2355,255,"[7, 7, 7, 3, 3, 4, 4, 5, 5, 2]","[7, 3, 4, 5, 2]","[0, 60, 135, 150, 210]"
