時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,80,60,5,0,5,5,0,5
15,110,75,70,0,10,15,0,15
30,115,90,75,0,50,50,0,15
45,115,85,80,0,60,55,0,20
60,120,90,90,0,70,60,5,40
75,120,100,90,0,70,60,15,45
90,115,95,90,0,75,60,15,40
105,85,85,85,0,70,60,15,45
120,85,85,85,0,70,65,15,30
135,90,80,80,0,65,65,15,15
150,95,65,80,0,60,60,25,20
165,90,65,65,0,55,60,15,25
180,90,70,65,0,55,55,15,35
195,80,65,55,0,60,55,15,20
210,90,55,55,0,55,55,15,20
225,90,50,70,0,55,60,15,25
240,80,55,75,0,55,65,15,15
255,85,60,75,0,55,60,15,15
270,90,65,75,0,55,60,15,15
285,95,70,70,0,50,60,15,15
300,110,80,65,0,50,60,15,15
315,105,85,60,0,50,60,15,15
330,95,85,70,0,65,70,15,20
345,80,85,75,0,65,70,15,20
360,95,85,80,0,65,70,15,20
375,90,75,80,0,65,85,25,20
390,90,70,75,0,60,85,15,20
405,90,70,90,0,65,85,15,30
420,90,75,90,0,70,60,15,15
435,90,70,70,0,70,60,15,20
450,90,70,70,0,65,55,15,15
465,90,70,60,0,60,55,15,15
480,90,65,70,0,60,60,15,20
495,80,65,70,0,55,60,15,20
510,80,65,80,0,55,70,15,20
525,85,75,75,0,55,65,15,20
540,85,85,80,0,55,60,15,20
555,80,75,80,0,55,50,15,20
570,75,60,70,0,45,55,15,20
585,65,45,60,0,45,55,15,20
600,65,35,50,0,40,45,15,20
615,70,35,50,0,30,30,15,20
630,55,40,60,0,25,35,15,20
645,50,40,50,0,15,35,15,15
660,55,40,60,0,30,25,15,15
675,50,45,50,0,35,40,15,15
690,50,35,50,0,25,45,0,15
705,0,25,0,0,15,25,0,15
