date,trial_number,total_popularity,total_time,planned_rides,optimal_rides,time_schedule
2023-09-28,0,6546,700,"[5, 7, 6, 7, 2, 7, 1, 2, 1, 5, 3, 1, 2, 6, 3, 4, 6]","[5, 7, 6, 7, 2, 7, 1, 2, 1, 5, 3, 1, 2, 6]","[0, 30, 90, 150, 225, 285, 360, 450, 525, 540, 585, 615, 630, 660]"
2023-09-28,1,6151,673,"[0, 4, 4, 2, 0, 4, 6, 2, 3, 6, 2, 2, 2]","[0, 4, 4, 2, 0, 4, 6, 2, 3, 6, 2, 2, 2]","[0, 120, 195, 270, 330, 435, 495, 540, 555, 570, 615, 630, 660]"
2023-09-28,2,7017,724,"[2, 5, 2, 2, 3, 2, 6, 2, 3, 0, 6, 5, 4, 1, 6, 6]","[2, 5, 2, 2, 3, 2, 6, 2, 3, 0, 6, 5, 4, 1, 6]","[0, 75, 150, 225, 285, 360, 420, 480, 540, 555, 570, 615, 630, 645, 675]"
2023-09-28,3,6578,665,"[1, 1, 2, 0, 4, 5, 0, 2, 3, 2, 5, 2, 0, 3]","[1, 1, 2, 0, 4, 5, 0, 2, 3, 2, 5, 2, 0, 3]","[0, 90, 225, 285, 390, 450, 525, 540, 555, 570, 585, 600, 630, 645]"
2023-09-28,4,6659,709,"[3, 1, 4, 4, 2, 7, 7, 0, 4, 0, 0, 4, 4, 1, 2, 6, 5, 5, 3, 5]","[3, 1, 4, 4, 2, 7, 7, 0, 4, 0, 0, 4, 4, 1]","[0, 60, 210, 285, 345, 405, 480, 555, 570, 585, 615, 630, 645, 675]"
2023-09-28,5,6639,714,"[4, 6, 7, 4, 0, 3, 7, 5, 2, 2, 7, 4, 4, 7, 7, 4]","[4, 6, 7, 4, 0, 3, 7, 5, 2, 2, 7, 4, 4, 7]","[0, 30, 75, 150, 225, 330, 405, 480, 540, 555, 570, 615, 630, 660]"
2023-09-28,6,7467,698,"[6, 6, 6, 6, 5, 4, 4, 6, 6, 5, 4, 0, 5, 4, 2, 0]","[6, 6, 6, 6, 5, 4, 4, 6, 6, 5, 4, 0, 5, 4, 2, 0]","[0, 45, 90, 150, 210, 270, 330, 390, 450, 510, 555, 585, 600, 615, 630, 660]"
2023-09-28,7,6086,738,"[3, 5, 3, 7, 0, 1, 6, 5, 0, 4, 5, 3, 7, 0, 3, 2, 0, 0, 1, 7]","[3, 5, 3, 7, 0, 1, 6, 5, 0, 4, 5, 3, 7]","[0, 60, 135, 225, 300, 405, 495, 540, 600, 615, 630, 660, 675]"
2023-09-28,8,7985,709,"[5, 5, 3, 1, 2, 7, 6, 2, 7, 2, 2, 4, 0, 1, 0, 2, 1, 7, 5, 4]","[5, 5, 3, 1, 2, 7, 6, 2, 7, 2, 2, 4, 0, 1, 0, 2, 1]","[0, 30, 45, 120, 195, 270, 345, 405, 465, 540, 555, 570, 585, 600, 630, 645, 675]"
2023-09-28,9,6558,680,"[5, 5, 1, 4, 4, 1, 2, 1, 0, 4, 5, 2, 3, 2]","[5, 5, 1, 4, 4, 1, 2, 1, 0, 4, 5, 2, 3, 2]","[0, 30, 45, 195, 270, 315, 420, 495, 570, 585, 600, 615, 630, 660]"
2023-09-28,10,6637,691,"[5, 4, 7, 0, 0, 7, 4, 7, 0, 1, 3, 0, 3, 7, 0, 7]","[5, 4, 7, 0, 0, 7, 4, 7, 0, 1, 3, 0, 3, 7]","[0, 30, 75, 150, 255, 345, 420, 480, 540, 555, 585, 600, 615, 645]"
2023-09-28,11,7079,693,"[2, 4, 2, 2, 7, 3, 4, 3, 3, 3, 5, 5, 0, 0, 7, 7]","[2, 4, 2, 2, 7, 3, 4, 3, 3, 3, 5, 5, 0, 0, 7]","[0, 75, 120, 210, 270, 345, 420, 465, 525, 555, 570, 585, 600, 615, 645]"
2023-09-28,12,7543,689,"[7, 3, 2, 4, 4, 3, 5, 6, 2, 4, 3, 2, 2, 5, 4, 3, 5, 0]","[7, 3, 2, 4, 4, 3, 5, 6, 2, 4, 3, 2, 2, 5, 4, 3]","[0, 60, 150, 225, 285, 345, 420, 495, 540, 555, 570, 600, 615, 630, 645, 675]"
2023-09-28,13,7543,731,"[5, 2, 2, 5, 3, 7, 4, 2, 1, 2, 3, 3, 0, 0, 7, 7, 6]","[5, 2, 2, 5, 3, 7, 4, 2, 1, 2, 3, 3, 0, 0, 7, 7]","[0, 30, 90, 165, 225, 300, 375, 435, 510, 525, 540, 570, 585, 600, 630, 675]"
